0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
360,Rob Dillingham,21,2TM,PG,57,0,13.5,2.2,5.6,.384,0.5,1.7,.320,1.6,3.9,.413,.433,0.5,0.7,.763,0.3,1.5,1.7,2.2,0.7,0.1,1.3,1.7,5.4,,2026
360,Rob Dillingham,21,MIN,PG,35,0,9.3,1.3,4.0,.333,0.3,0.9,.364,1.0,3.1,.324,.376,0.4,0.6,.750,0.1,1.0,1.2,1.7,0.5,0.1,1.0,1.0,3.5,,2026
360,Rob Dillingham,21,CHI,PG,22,0,20.3,3.5,8.1,.425,0.9,2.9,.297,2.6,5.2,.496,.478,0.6,0.8,.778,0.5,2.1,2.6,3.0,1.0,0.0,1.8,2.9,8.4,,2026
361,Seth Curry,35,GSW,SG,5,0,11.8,2.0,3.6,.556,0.8,1.6,.500,1.2,2.0,.600,.667,0.6,0.6,1.000,0.6,0.8,1.4,1.4,0.4,0.0,0.0,0.8,5.4,,2026
362,Jett Howard,22,ORL,SF,52,0,12.8,1.9,4.6,.414,1.0,2.7,.364,0.9,1.9,.485,.521,0.7,0.7,.944,0.4,1.2,1.6,0.8,0.2,0.2,0.3,1.2,5.4,,2026
363,Sion James,23,CHO,SG,75,19,22.6,1.7,4.4,.378,1.0,2.7,.369,0.6,1.6,.393,.494,1.1,1.3,.842,0.6,2.8,3.4,2.0,0.6,0.3,0.8,1.8,5.4,,2026
364,Jahmai Mashack,23,MEM,SG,25,3,19.2,2.2,5.5,.406,0.6,2.0,.275,1.7,3.5,.483,.457,0.4,0.7,.556,0.8,1.4,2.2,1.4,1.2,0.5,1.0,2.0,5.4,,2026
365,Mitchell Robinson,27,NYK,C,56,15,19.6,2.4,3.3,.719,0.0,0.0,,2.4,3.3,.719,.719,0.7,1.7,.389,4.3,4.5,8.8,0.9,0.9,1.2,0.7,2.1,5.4,,2026
366,Marcus Sasser,25,DET,PG,30,5,12.6,1.9,4.7,.401,1.2,2.9,.402,0.7,1.8,.400,.525,0.4,0.5,.929,0.2,0.9,1.1,2.1,0.7,0.1,0.9,1.2,5.4,,2026
367,Jalen Slawson,26,IND,SF,7,3,21.1,1.7,5.0,.343,0.9,2.9,.300,0.9,2.1,.400,.429,1.1,1.3,.889,0.6,3.3,3.9,2.4,1.3,1.1,0.7,2.1,5.4,,2026
368,Blake Wesley,22,POR,SG,27,0,13.0,2.0,4.4,.458,0.4,1.3,.286,1.7,3.1,.529,.500,0.9,1.7,.556,0.3,1.1,1.4,2.3,0.6,0.2,1.1,1.2,5.4,,2026
